2332,4,f
3222,5,f
3188,5,f
3458,5,f
23008,13,f
16664,11,f
7597,7,f
106,1,f
2473,4,f
58,1,f
2263,4,f
1396,3,f
61373,22,f
7417,7,f
26021,14,f
11431,9,f
6639,7,f
9112,8,f
2868,4,f
22233,13,f
1460,3,F
584,2,f
1527,3,f
458,2,f
1241,3,f
1125,3,f
2302,4,f
2964,5,f
458,2,f
1205,3,f
2136,4,f
5371,6,f
21500,13,f
1115,3,f
8428,8,f
3681,5,f
18672,12,f
7226,7,fuck
507,2,f
9130,8,f
2381,4,f
465,2,f
17860,12,f
1066,3,f
13527,10,f
5210,6,f
11399,9,f
67,1,f
11071,9,f
5193,6,f
6138,7,sam
32923,16,f
3570,5,f
524,2,f
8805,8,f
8981,8,f
14718,10,f
1224,3,ddfdfd
22334,13,
2350,4,f
1203,3,f
2740,4,f
5180,6,f
9129,8,FO9
16046,11,AAAA
5878,6,f
13952,10,f
2385,4,f
13664,10,f
12996,10,f
3776,5,
19475,13,f
20014,13,f
13109,11,f
13069,11,f
13116,11,f
15953,12,f
13060,11,f
6637,7,f
22041,13,f
4010,5,f
5079,6,f
8190,1,f
8190,1,f
8190,1,f
8190,1,f
21440,1,f
18632,12,f
6822,7,f
515,2,f
10574,9,f
11777,9,f
19237,12,f
8190,1,f
3542,3,f
3553,3,f
839523,91,f
839520,91,f
839631,91,f
174734,41,f
174530,41,
175486,41,f
1418,3,ffff
11130,9,
24169,14,f
1130,3,f
19851,12,f
24162,14,f
5223,6,f
3699,5,
1467,3,
2186,4,
1319,3,fog
1397,3,poopoopeepee
7512,7,
3490,5,f
1242,3,f
11421,9,f
11507,9,f
19529,12,f
18608,12,f
6987,7,
16138,11,
19158,12,
18530,12,fooper
1182,3,
8733,8,
200157,44,f
208899,45,fff
5319,6,f
10710,9,
27199,15,f
32110,16,f
21747,13,fog
21572,13,fucker
13225,10,fucker
19503,12,fuck
3982,5,f
19154,12,f
21164,13,dfdf
19088,12,f
18556,12,f
32935,16,f
19722,12,f
26446,14,
22793,13,f
14112,10,f
19380,12,f
58,1,f
25423,14,f
19116,12,f
